time,category,count
2022-02-04 17:00:00,time.,51
2022-02-04 09:00:00,COUNT=221,225
2022-02-04 07:00:00,COUNT=221,255
2022-02-04 18:00:00,COUNT=660,82
2022-02-04 06:00:00,COUNT=242,144
2022-02-04 10:00:00,power,98
2022-02-04 14:00:00,8,176
2022-02-04 06:00:00,February,239
2022-02-04 12:00:00,COUNT=825,72
2022-02-04 15:00:00,this.,101
2022-02-04 11:00:00,COUNT=462,229
2022-02-04 07:00:00,album,68
2022-02-01 21:00:00,COUNT=301,12
2022-02-04 08:00:00,tweets,71
2022-02-04 14:00:00,COUNT=393,187
2022-02-01 20:00:00,COUNT=606,56
2022-02-04 07:00:00,COUNT=716,50
2022-02-04 11:00:00,thanks,80
2022-02-01 20:00:00,$200,98
2022-02-04 16:00:00,COUNT=583,123
2022-02-04 12:00:00,hot,118
2022-02-04 18:00:00,COUNT=946,23
2022-02-01 21:00:00,COUNT=618,12
2022-02-04 16:00:00,COUNT=459,46
2022-02-04 18:00:00,COUNT=413,75
2022-02-04 16:00:00,COUNT=454,167
2022-02-04 06:00:00,COUNT=498,264
2022-02-04 15:00:00,COUNT=552,105
2022-02-04 05:00:00,COUNT=826,9
2022-02-04 09:00:00,COUNT=411,127
2022-02-04 16:00:00,@missufe:,340
2022-02-04 09:00:00,COUNT=314,196
2022-02-04 14:00:00,giving,362
2022-02-01 21:00:00,COUNT=576,17
2022-02-04 16:00:00,bit,67
2022-02-04 10:00:00,COUNT=542,136
2022-02-04 15:00:00,COUNT=790,44
2022-02-04 08:00:00,Your,195
2022-02-04 12:00:00,comes,126
2022-02-04 13:00:00,say,417
2022-02-04 18:00:00,food,31
2022-02-04 12:00:00,COUNT=551,35
2022-02-04 17:00:00,take,317
2022-02-04 13:00:00,.,404
2022-02-01 20:00:00,COUNT=688,91
2022-02-04 09:00:00,COUNT=829,140
2022-02-04 09:00:00,TO,226
2022-02-04 16:00:00,Love,144
2022-02-04 17:00:00,Love,158
2022-02-04 13:00:00,COUNT=787,211
2022-02-04 12:00:00,1st,206
2022-02-04 07:00:00,COUNT=751,108
2022-02-04 07:00:00,COUNT=520,187
2022-02-04 16:00:00,COUNT=669,167
2022-02-04 07:00:00,didn’t,159
2022-02-01 21:00:00,#Butter,25
2022-02-04 06:00:00,watching,145
2022-02-04 11:00:00,watching,136
2022-02-04 05:00:00,life,29
2022-02-04 13:00:00,COUNT=276,203
2022-02-04 13:00:00,After,117
2022-02-04 09:00:00,$20,114
2022-02-04 06:00:00,😭,321
2022-02-04 08:00:00,😭,365
2022-02-04 08:00:00,COUNT=489,91
2022-02-04 17:00:00,people,945
2022-02-04 05:00:00,again,25
2022-02-04 18:00:00,isn’t,31
2022-02-04 11:00:00,to…,120
2022-02-04 05:00:00,🚨,13
2022-02-04 16:00:00,any,263
2022-02-04 17:00:00,birthday,118
2022-02-04 16:00:00,COUNT=529,50
2022-02-04 16:00:00,does,199
2022-02-01 20:00:00,COUNT=884,58
2022-02-04 05:00:00,COUNT=884,10
2022-02-01 20:00:00,year,369
2022-02-04 05:00:00,year,28
2022-02-01 20:00:00,It,289
2022-02-04 09:00:00,absolutely,92
2022-02-04 12:00:00,/,366
2022-02-04 07:00:00,mean,154
2022-02-04 05:00:00,reply,2
2022-02-04 13:00:00,COUNT=962,127
2022-02-04 18:00:00,from,762
2022-02-04 16:00:00,🤣,60
2022-02-01 20:00:00,tag,57
2022-02-04 11:00:00,COUNT=820,338
2022-02-04 09:00:00,ON,139
2022-02-01 20:00:00,COUNT=926,21
2022-02-04 10:00:00,COUNT=760,48
2022-02-04 08:00:00,(@BTS_twt),862
2022-02-04 08:00:00,Go,106
2022-02-04 10:00:00,didn't,108
2022-02-04 05:00:00,join,14
2022-02-04 10:00:00,Let's,131
2022-02-01 21:00:00,something,27
2022-02-04 17:00:00,10,333
2022-02-04 11:00:00,Just,418
2022-02-01 21:00:00,yes,12
2022-02-04 14:00:00,COUNT=791,103
2022-02-04 10:00:00,would,669
2022-02-04 06:00:00,come,366
2022-02-04 11:00:00,come,278
2022-02-04 11:00:00,✨,170
2022-02-04 13:00:00,fucking,290
2022-02-04 13:00:00,a,8920
2022-02-04 10:00:00,COUNT=577,44
2022-02-01 20:00:00,NOW,48
2022-02-04 06:00:00,People,137
2022-02-04 11:00:00,People,113
2022-02-04 09:00:00,his,1155
2022-02-04 05:00:00,give,49
2022-02-04 06:00:00,give,462
2022-02-04 12:00:00,Retweet,317
2022-02-04 10:00:00,little,280
2022-02-04 07:00:00,place,121
2022-02-04 09:00:00,COUNT=17,2135
2022-02-04 09:00:00,COUNT=12,3040
2022-02-04 18:00:00,COUNT=144,161
2022-02-04 08:00:00,COUNT=83,459
2022-02-04 07:00:00,COUNT=289,336
2022-02-04 13:00:00,COUNT=85,474
2022-02-04 12:00:00,COUNT=31,1478
2022-02-04 15:00:00,COUNT=40,966
2022-02-04 12:00:00,COUNT=44,1040
2022-02-04 11:00:00,COUNT=243,212
2022-02-04 18:00:00,COUNT=446,156
2022-02-04 15:00:00,COUNT=233,113
2022-02-04 05:00:00,COUNT=332,17
2022-02-04 15:00:00,now.,78
2022-02-04 11:00:00,COUNT=153,314
2022-02-04 07:00:00,COUNT=447,194
2022-02-04 12:00:00,COUNT=76,594
2022-02-04 12:00:00,COUNT=295,265
2022-02-04 16:00:00,COUNT=493,174
2022-02-04 17:00:00,COUNT=150,443
2022-02-04 08:00:00,COUNT=150,567
2022-02-01 20:00:00,day,407
2022-02-04 18:00:00,COUNT=357,119
2022-02-04 11:00:00,It’s,347
2022-02-04 18:00:00,did,250
2022-02-01 21:00:00,COUNT=110,52
2022-02-04 11:00:00,COUNT=429,159
2022-02-04 08:00:00,COUNT=517,191
2022-02-04 11:00:00,COUNT=282,363
2022-02-04 12:00:00,COUNT=693,174
2022-02-04 15:00:00,COUNT=268,206
2022-02-04 09:00:00,COUNT=329,145
2022-02-04 09:00:00,always,401
2022-02-04 14:00:00,men,90
2022-02-04 12:00:00,COUNT=324,465
2022-02-04 15:00:00,COUNT=255,127
2022-02-04 11:00:00,COUNT=253,179
2022-02-01 20:00:00,COUNT=430,89
2022-02-04 13:00:00,COUNT=275,100
2022-02-04 15:00:00,COUNT=225,229
2022-02-04 11:00:00,COUNT=316,312
2022-02-04 06:00:00,Well,106
2022-02-04 12:00:00,h…,151
2022-02-04 15:00:00,forget,85
2022-02-04 11:00:00,there,499
2022-02-01 20:00:00,COUNT=851,121
2022-02-04 13:00:00,COUNT=800,200
2022-02-04 17:00:00,COUNT=607,195
2022-02-04 06:00:00,COUNT=914,61
2022-02-04 07:00:00,COUNT=694,117
2022-02-04 16:00:00,Joe,40
2022-02-04 05:00:00,COUNT=603,20
2022-02-04 09:00:00,COUNT=294,208
2022-02-04 06:00:00,COUNT=294,224
2022-02-01 21:00:00,#…,8
2022-02-04 17:00:00,COUNT=487,69
2022-02-01 21:00:00,#NCT127,6
2022-02-04 18:00:00,tell,86
2022-02-04 09:00:00,&lt;3,132
2022-02-04 18:00:00,had,163
2022-02-04 16:00:00,COUNT=708,48
2022-02-01 21:00:00,COUNT=481,13
2022-02-04 16:00:00,story,84
2022-02-04 08:00:00,days,243
2022-02-04 06:00:00,COUNT=927,78
2022-02-04 14:00:00,Drop,105
2022-02-04 06:00:00,WL,205
2022-02-04 11:00:00,than,496
2022-02-04 16:00:00,COUNT=478,30
2022-02-04 09:00:00,gonna,334
2022-02-04 14:00:00,COUNT=875,132
2022-02-04 13:00:00,COUNT=771,78
2022-02-04 12:00:00,COUNT=703,58
2022-02-04 15:00:00,excited,101
2022-02-01 21:00:00,COUNT=647,9
2022-02-04 18:00:00,COUNT=647,34
2022-02-04 11:00:00,nothing,131
2022-02-04 16:00:00,COUNT=489,114
2022-02-04 10:00:00,season,85
2022-02-04 15:00:00,birthday,128
2022-02-04 13:00:00,His,74
2022-02-04 08:00:00,it’s,554
2022-02-04 08:00:00,It,507
2022-02-04 13:00:00,care,161
2022-02-04 09:00:00,want,732
2022-02-04 08:00:00,X,58
2022-02-04 12:00:00,COUNT=646,93
2022-02-04 09:00:00,looking,203
2022-02-04 18:00:00,COUNT=535,32
2022-02-04 14:00:00,COUNT=567,62
2022-02-04 18:00:00,voting,42
2022-02-04 14:00:00,COUNT=977,92
2022-02-04 08:00:00,o…,131
2022-02-04 06:00:00,COUNT=643,93
2022-02-04 16:00:00,#마크,10
2022-02-01 21:00:00,JUNGWON,1
2022-02-04 07:00:00,COUNT=712,135
2022-02-01 20:00:00,COUNT=644,60
2022-02-04 13:00:00,it.,225
2022-02-04 11:00:00,around,175
2022-02-04 14:00:00,are,2515
2022-02-04 12:00:00,COUNT=560,270
