time,category,count
2022-02-01 20,COUNT=269,269
2022-02-01 20,is,3779
2022-02-01 20,COUNT=60,720
2022-02-01 20,COUNT=229,229
2022-02-01 20,COUNT=207,414
2022-02-01 20,COUNT=118,236
2022-02-01 20,COUNT=75,525
2022-02-01 20,COUNT=96,288
2022-02-01 20,COUNT=539,539
2022-02-01 20,COUNT=233,233
2022-02-01 20,COUNT=13,2899
2022-02-01 20,COUNT=158,158
2022-02-01 20,COUNT=17,2159
2022-02-01 20,COUNT=125,250
2022-02-01 20,COUNT=287,574
2022-02-01 20,COUNT=129,387
2022-02-01 20,COUNT=38,988
2022-02-01 20,COUNT=221,442
2022-02-01 20,COUNT=438,438
2022-02-01 20,COUNT=140,280
2022-02-01 20,COUNT=442,442
2022-02-01 20,COUNT=258,258
2022-02-01 20,COUNT=647,647
2022-02-01 20,COUNT=202,202
2022-02-01 20,COUNT=149,298
2022-02-01 20,COUNT=163,326
2022-02-01 20,COUNT=297,297
2022-02-01 20,COUNT=192,192
2022-02-01 20,COUNT=887,887
2022-02-01 20,COUNT=330,330
2022-02-01 20,COUNT=167,167
2022-02-01 20,RT,18486
2022-02-01 20,COUNT=50,850
2022-02-01 20,COUNT=15,2430
2022-02-01 20,COUNT=407,407
2022-02-01 20,COUNT=311,311
2022-02-01 20,COUNT=270,270
2022-02-01 20,COUNT=313,313
2022-02-01 20,COUNT=264,528
2022-02-01 20,COUNT=368,368
2022-02-01 20,COUNT=236,472
2022-02-01 20,COUNT=266,266
2022-02-01 20,COUNT=386,386
2022-02-01 20,COUNT=110,550
2022-02-01 20,to,6581
2022-02-01 20,on,2394
2022-02-01 20,COUNT=64,512
2022-02-01 20,COUNT=253,253
2022-02-01 20,COUNT=40,880
2022-02-01 20,COUNT=31,899
2022-02-01 20,COUNT=120,480
2022-02-01 20,COUNT=85,425
2022-02-01 20,COUNT=861,861
2022-02-01 20,COUNT=164,328
2022-02-01 20,COUNT=41,656
2022-02-01 20,COUNT=261,522
2022-02-01 20,COUNT=59,236
2022-02-01 20,COUNT=122,122
2022-02-01 20,COUNT=66,528
2022-02-01 20,my,1755
2022-02-01 20,COUNT=123,123
2022-02-01 20,COUNT=150,300
2022-02-01 20,COUNT=304,304
2022-02-01 20,COUNT=87,696
2022-02-01 20,COUNT=509,509
2022-02-01 20,COUNT=210,630
2022-02-01 20,COUNT=98,686
2022-02-01 20,COUNT=859,859
2022-02-01 20,COUNT=605,605
2022-02-01 20,COUNT=518,518
2022-02-01 20,COUNT=260,260
2022-02-01 20,COUNT=316,316
2022-02-01 20,COUNT=49,441
2022-02-01 20,COUNT=156,156
2022-02-01 20,COUNT=79,474
2022-02-01 20,COUNT=83,166
2022-02-01 20,COUNT=850,850
2022-02-01 20,COUNT=32,1440
2022-02-01 20,COUNT=911,911
2022-02-01 20,COUNT=107,321
2022-02-01 20,COUNT=359,359
2022-02-01 20,COUNT=76,912
2022-02-01 20,COUNT=78,390
2022-02-01 20,me,1386
2022-02-01 20,COUNT=302,302
2022-02-01 20,COUNT=378,378
2022-02-01 20,COUNT=457,457
2022-02-01 20,COUNT=10,3900
2022-02-01 20,are,1587
2022-02-01 20,COUNT=37,962
2022-02-01 20,COUNT=222,444
2022-02-01 20,COUNT=356,356
2022-02-01 20,COUNT=144,432
2022-02-01 20,COUNT=105,735
2022-02-01 20,COUNT=147,294
2022-02-01 20,COUNT=576,576
2022-02-01 20,COUNT=99,297
2022-02-01 20,COUNT=565,565
2022-02-01 20,COUNT=16,2560
2022-02-01 20,COUNT=350,350
2022-02-01 20,COUNT=127,254
2022-02-01 20,COUNT=86,258
2022-02-01 20,COUNT=171,171
2022-02-01 20,COUNT=115,460
2022-02-01 20,COUNT=128,256
2022-02-01 20,COUNT=355,355
2022-02-01 20,COUNT=77,462
2022-02-01 20,COUNT=5,7810
2022-02-01 20,COUNT=117,351
2022-02-01 20,COUNT=610,610
2022-02-01 20,COUNT=657,657
2022-02-01 20,of,4308
2022-02-01 20,COUNT=230,460
2022-02-01 20,COUNT=200,400
2022-02-01 20,COUNT=329,329
2022-02-01 20,COUNT=738,738
2022-02-01 20,COUNT=7,5138
2022-02-01 20,COUNT=93,465
2022-02-01 20,COUNT=19,1938
2022-02-01 20,COUNT=69,552
2022-02-01 20,COUNT=585,585
2022-02-01 20,COUNT=68,680
2022-02-01 20,The,1261
2022-02-01 20,COUNT=136,272
2022-02-01 20,COUNT=379,379
2022-02-01 20,COUNT=36,1080
2022-02-01 20,COUNT=936,936
2022-02-01 20,COUNT=166,166
2022-02-01 20,COUNT=74,444
2022-02-01 20,you,3206
2022-02-01 20,COUNT=72,648
2022-02-01 20,COUNT=212,212
2022-02-01 20,COUNT=193,193
2022-02-01 20,COUNT=789,789
2022-02-01 20,COUNT=133,133
2022-02-01 20,COUNT=108,108
2022-02-01 20,COUNT=274,274
2022-02-01 20,COUNT=175,175
2022-02-01 20,with,1757
2022-02-01 20,COUNT=116,348
2022-02-01 20,COUNT=262,262
2022-02-01 20,COUNT=26,1378
2022-02-01 20,COUNT=173,173
2022-02-01 20,COUNT=299,299
2022-02-01 20,that,1697
2022-02-01 20,COUNT=134,134
2022-02-01 20,COUNT=186,186
2022-02-01 20,COUNT=52,676
2022-02-01 20,COUNT=23,1633
2022-02-01 20,COUNT=733,733
2022-02-01 20,be,1543
2022-02-01 20,COUNT=425,425
2022-02-01 20,for,3688
2022-02-01 20,COUNT=293,586
2022-02-01 20,COUNT=868,868
2022-02-01 20,COUNT=11,3608
2022-02-01 20,COUNT=169,338
2022-02-01 20,COUNT=145,290
2022-02-01 20,COUNT=203,203
2022-02-01 20,COUNT=664,664
2022-02-01 20,COUNT=44,1012
2022-02-01 20,COUNT=27,1539
2022-02-01 20,COUNT=179,179
